"origin","destination","arr_delay_time","num_of_flights","flight_time","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"ABQ","ATL",1.9491,6825,154.4620,1269.0000,3.6637,0.4614,2.8140,0.0595,1.4828
"ALB","ATL",6.1570,4814,131.9001,852.0000,3.1841,0.4814,5.8912,0.0046,2.0062
"ANC","ATL",11.2853,639,391.3867,3417.0000,4.6072,0.0000,3.5964,0.0721,8.9892
"AUS","ATL",7.4119,8749,108.0327,813.0000,3.5467,0.4203,5.6242,0.0171,2.5741
"BDL","ATL",7.6640,14449,127.5725,859.0000,2.5274,0.4298,7.9771,0.0251,2.5282
"BHM","ATL",6.4901,14595,32.5082,134.0000,2.8583,0.0946,5.1841,0.0027,2.9895
"BNA","ATL",7.4417,12589,40.4049,214.0000,2.4444,0.2894,5.5751,0.0000,3.9265
"BOI","ATL",0.8296,630,214.9379,1838.0000,5.2707,0.4044,2.0711,0.0000,0.0152
"BOS","ATL",9.3615,23086,139.8206,946.0000,3.0977,0.5864,8.1899,0.0144,3.2138
"BTR","ATL",14.9558,2187,68.8690,449.0000,2.7088,0.3709,10.3385,0.0000,3.9902
"BUF","ATL",6.7956,4571,105.6084,712.0000,4.5848,1.1097,7.2053,0.0131,2.9432
"BUR","ATL",1.3278,425,229.2518,1941.0000,2.7294,0.4659,3.4588,0.0753,0.0000
"BWI","ATL",8.6512,21584,89.9549,576.0000,4.0501,0.1471,7.1956,0.0153,2.8249
"BZN","ATL",13.2089,165,197.2468,1641.0000,5.0400,0.2320,6.0480,0.0000,7.9840
"CAE","ATL",7.4021,5594,41.5501,191.0000,3.0650,0.3209,6.3552,0.0247,2.3988
"CAK","ATL",10.5455,219,83.1914,528.0000,11.3008,0.0000,6.9549,0.0000,2.1353
"CHS","ATL",8.4387,14400,49.2198,259.0000,3.0999,0.0986,6.2333,0.0097,4.1283
"CLE","ATL",5.1960,8099,85.8860,554.0000,2.9673,0.1366,6.0798,0.0457,1.4559
"CLT","ATL",7.4053,15123,46.6085,227.0000,2.6134,0.2246,7.2797,0.0000,3.7154
"CMH","ATL",4.9605,8936,72.1983,446.0000,2.2200,0.2515,6.0122,0.0000,1.9921
"COS","ATL",4.6690,3175,141.7181,1185.0000,4.1855,0.6623,3.4995,0.0377,1.7475
"CVG","ATL",8.9392,17256,67.3373,373.0000,2.4448,0.3102,7.9382,0.0231,1.8400
"DAB","ATL",7.8285,9226,62.7383,366.0000,4.3531,0.3504,5.0969,0.0201,3.3230
"DAY","ATL",8.4268,9692,74.6531,432.0000,3.1459,0.2731,6.6341,0.0043,2.9206
"DCA","ATL",7.9544,30870,85.8626,547.0000,2.2676,0.1629,7.1906,0.0103,3.7861
"DEN","ATL",5.7891,20867,145.0114,1199.0000,3.2364,0.3175,4.3177,0.0000,3.5948
"DFW","ATL",9.9458,45992,98.8503,732.0000,2.8905,0.9486,7.6931,0.0087,4.0789
"DTW","ATL",7.6990,12879,92.9495,594.0000,3.1592,0.3785,7.5057,0.0000,2.7347
"EGE","ATL",9.5271,647,154.7915,1312.0000,3.8678,0.6759,5.2772,0.0000,7.5096
"ELP","ATL",2.7440,3564,157.0241,1282.0000,5.3347,0.1383,2.4812,0.0000,1.7447
"EWR","ATL",12.8115,22603,111.8611,745.0000,2.6730,0.2769,8.6894,0.0645,7.1111
"FAY","ATL",2.5349,43,59.7907,331.0000,0.6279,0.0000,4.0930,0.0000,1.8140
"FCA","ATL",8.8913,46,220.9783,1841.0000,5.5313,0.0000,4.6250,0.0000,3.9063
"FLL","ATL",9.1488,23977,87.4201,581.0000,2.5658,0.2450,7.2179,0.0178,4.0235
"GPT","ATL",9.8242,1517,56.8757,352.0000,5.5095,0.3506,7.1868,0.0000,4.3251
"GRR","ATL",18.2320,317,99.4118,640.0000,2.4322,1.4069,16.3438,0.0000,1.5552
"GSO","ATL",7.3704,12469,56.3018,306.0000,2.6010,0.1117,6.5499,0.0236,2.8109
"GSP","ATL",6.6423,7643,35.8229,153.0000,2.8677,0.2232,6.8361,0.0089,2.0411
"GUC","ATL",20.1765,18,148.3529,1301.0000,15.2222,0.0000,3.4444,0.0000,0.7222
"HDN","ATL",20.6563,280,159.1445,1340.0000,6.4502,2.6351,5.7915,0.4455,12.1943
"HNL","ATL",-2.0152,3181,493.0396,4502.0000,1.7828,0.0038,2.3800,0.0000,2.7764
"HOU","ATL",6.8471,6680,97.6292,696.0000,2.1111,0.1111,6.3910,0.0157,3.0966
"HSV","ATL",6.1820,6073,32.8857,151.0000,2.6701,0.3246,6.1304,0.0213,2.5581
"IAD","ATL",8.4475,18102,83.9331,533.0000,2.3742,0.1894,7.1696,0.0116,4.3337
"IAH","ATL",11.0264,10656,94.8806,689.0000,3.4398,0.3586,8.0743,0.0000,4.9814
"ICT","ATL",12.4026,158,101.7922,781.0000,10.9051,1.1962,4.2089,0.0000,0.0000
"IND","ATL",7.4645,12238,70.1473,432.0000,2.2996,0.5131,6.2863,0.0095,3.6484
"JAC","ATL",12.6766,353,188.5905,1572.0000,7.6260,0.6260,4.3902,0.0000,6.0772
"JAN","ATL",7.7270,7559,55.5720,341.0000,3.7210,0.0570,5.4118,0.0028,3.6491
"JAX","ATL",8.3001,20397,48.9758,270.0000,2.6363,0.0882,6.8743,0.0092,3.3498
"JFK","ATL",16.4081,8049,112.5953,760.0000,5.9950,1.3057,13.0835,0.1181,4.9744
"LAS","ATL",4.6318,17531,202.7658,1747.0000,2.8352,0.1393,3.9240,0.0107,3.5524
"LAX","ATL",6.7832,24212,224.2771,1946.0000,4.7385,0.1476,3.9943,0.0743,2.8643
"LEX","ATL",5.6936,3894,54.9785,303.0000,3.3945,0.4170,5.6404,0.0000,1.1010
"LGA","ATL",11.5905,37078,113.9266,761.0000,2.7720,0.3885,9.1322,0.0264,6.4334
"LGB","ATL",3.7064,455,409.9382,1933.0000,1.3906,0.1458,5.5443,0.1745,0.8125
"LIT","ATL",7.8003,6342,66.8167,453.0000,3.2471,0.3187,5.5930,0.0181,3.2091
"MCI","ATL",7.9389,17317,94.8697,692.0000,2.6915,0.3333,6.2350,0.0049,3.3165
"MCO","ATL",9.2240,27500,65.9194,403.0000,2.5897,0.1964,7.2529,0.0205,3.8159
"MDW","ATL",4.6320,4336,88.4283,590.0000,1.9401,0.3559,7.6559,0.0000,1.8564
"MEM","ATL",9.5474,13121,53.2501,332.0000,2.9759,0.2228,6.1732,0.0115,4.8483
"MHT","ATL",7.7528,2251,141.3317,952.0000,3.3434,0.6769,6.0943,0.0000,1.3950
"MIA","ATL",11.3258,32516,89.9236,595.0000,3.9209,0.7471,7.1646,0.0281,4.2584
"MKE","ATL",7.6021,6083,97.7262,669.0000,3.8234,0.5040,6.7727,0.0233,1.8861
"MLB","ATL",7.1366,6576,71.8510,443.0000,2.1914,0.1257,6.4780,0.0109,2.8446
"MOB","ATL",7.1956,6312,51.6833,302.0000,2.6762,0.4400,5.5530,0.0000,3.1487
"MSP","ATL",3.5996,11564,124.4780,906.0000,3.4011,0.3160,4.3099,0.0000,2.1049
"MSY","ATL",7.2291,18172,62.9062,425.0000,2.6981,0.2235,5.8511,0.0045,3.4228
"MTJ","ATL",27.3514,40,160.6757,1352.0000,14.7857,0.0000,11.8929,0.0000,9.2143
"MYR","ATL",5.1772,594,55.5911,317.0000,5.5118,0.0455,2.9125,0.0000,1.8434
"OAK","ATL",4.0194,4062,249.1442,2130.0000,2.9281,0.1491,2.5847,0.0242,2.7289
"OGG","ATL",-24.4059,173,486.3706,4431.0000,3.5376,0.0000,0.1676,0.0000,0.8497
"OKC","ATL",8.2283,4040,100.6519,761.0000,3.3782,0.3794,6.0964,0.0561,3.0774
"OMA","ATL",1.7105,1577,107.9750,821.0000,2.3278,0.0776,2.8706,0.0000,1.0557
"ONT","ATL",3.8322,5321,221.9689,1900.0000,3.6099,0.2093,3.4955,0.0527,2.2722
"ORD","ATL",13.3814,40707,89.5085,606.0000,3.1416,0.7119,8.3323,0.0051,7.7656
"ORF","ATL",7.8729,13544,88.2344,516.0000,2.8121,0.1339,6.4092,0.0109,3.4922
"PBI","ATL",7.0558,18478,84.0757,545.0000,2.2046,0.1129,5.7132,0.0367,3.3796
"PDX","ATL",1.7850,7040,249.9911,2172.0000,2.0836,0.1406,2.5326,0.0000,2.0517
"PHF","ATL",4.8065,1590,87.4955,508.0000,3.0649,0.0973,4.6496,0.0000,1.8890
"PHL","ATL",11.6393,22676,101.8802,665.0000,4.0482,0.2216,9.1417,0.0076,5.2286
"PHX","ATL",1.3419,12389,187.0136,1587.0000,2.7764,0.2273,3.3263,0.0078,2.1420
"PIT","ATL",7.0894,13368,81.9005,526.0000,2.6935,0.6667,5.6681,0.0000,3.4687
"PNS","ATL",8.5656,13368,47.3208,272.0000,3.1199,0.6095,5.2722,0.0000,4.5635
"PSP","ATL",1.4124,798,209.8477,1840.0000,3.2286,0.2802,4.1047,0.1932,0.0147
"PVD","ATL",4.3363,6631,136.9270,903.0000,2.6120,0.5288,5.5104,0.0187,1.2796
"PWM","ATL",9.4688,2048,149.8387,1027.0000,3.3511,2.2500,7.3180,0.0502,1.1690
"RDU","ATL",6.9500,20228,61.3669,356.0000,2.9675,0.1425,6.0609,0.0131,3.0630
"RIC","ATL",7.9688,13455,80.8722,481.0000,2.9755,0.2885,7.0549,0.0357,3.1663
"RNO","ATL",6.8706,1198,232.8486,1993.0000,6.1431,2.2367,3.6436,0.0318,0.3181
"ROC","ATL",11.2463,2098,110.6339,749.0000,6.6562,0.8619,8.3904,0.0353,3.1284
"RSW","ATL",6.7812,17148,82.6568,515.0000,3.0858,0.1516,5.2797,0.0000,3.2638
"SAN","ATL",0.4351,13048,220.1342,1891.0000,2.0495,0.1307,3.7373,0.0743,1.5601
"SAT","ATL",7.4335,12155,115.1080,874.0000,3.6265,0.1406,6.3895,0.0206,2.5869
"SAV","ATL",7.6647,18492,42.0855,215.0000,2.8040,0.1907,5.8410,0.0062,3.5636
"SDF","ATL",5.6456,9376,59.1004,321.0000,3.0115,0.2808,5.1743,0.0000,2.8988
"SEA","ATL",5.1390,12041,250.6908,2182.0000,2.9954,0.2258,4.0923,0.0262,2.9633
"SFO","ATL",3.3118,15947,244.4376,2139.0000,2.8181,0.3232,3.2498,0.0067,2.9779
"SHV","ATL",-5.1538,26,81.0769,552.0000,NULL,NULL,NULL,NULL,NULL
"SJC","ATL",3.3461,4746,248.2479,2116.0000,2.3984,0.1596,2.7452,0.0267,2.4526
"SJU","ATL",2.0539,8459,208.2474,1547.0000,2.9688,0.0446,2.9276,0.0095,1.8589
"SLC","ATL",3.8426,17788,187.0660,1589.0000,2.9157,0.3287,3.8944,0.0000,1.6552
"SMF","ATL",6.6250,5357,238.8269,2092.0000,3.1624,0.0403,2.8360,0.0145,4.5555
"SNA","ATL",3.2922,8513,224.2418,1919.0000,3.1364,0.2926,4.5533,0.0275,1.9764
"SRQ","ATL",5.7606,11289,74.3390,445.0000,2.7099,0.4978,4.4103,0.0091,3.0378
"STL","ATL",5.7831,11978,71.4608,483.0000,2.8834,0.3274,5.6674,0.0394,2.9793
"STT","ATL",3.3434,2731,217.8828,1599.0000,2.5982,0.2766,3.7026,0.0000,2.3762
"STX","ATL",16.2664,221,223.6682,1638.0000,5.9393,0.0000,5.2991,0.0000,4.8832
"SYR","ATL",3.8233,3557,119.0017,793.0000,2.6335,0.4445,5.4295,0.0000,1.6578
"TLH","ATL",5.9773,9300,43.9997,223.0000,2.2573,0.3598,5.0461,0.0220,2.4592
"TPA","ATL",8.1749,24712,68.4008,406.0000,2.6046,0.4431,6.2538,0.0000,3.5720
"TUL","ATL",5.6610,2869,91.8149,674.0000,1.1550,0.0872,7.3396,0.0000,1.4638
"TUS","ATL",3.7353,4722,184.7402,1541.0000,3.0322,0.5171,3.0562,0.0311,2.8867
"TYS","ATL",6.2874,6570,34.7829,152.0000,2.6853,0.5273,5.9244,0.0000,2.9346
"VPS","ATL",10.3812,5845,45.0726,264.0000,3.2472,0.3825,5.2486,0.0000,4.6550
"ABQ","DEN",2.8957,10493,55.3255,349.0000,2.5537,0.1632,1.3844,0.0088,5.0540
"AMA","DEN",1.9132,845,57.0285,358.0000,2.6620,1.6574,2.3611,0.0000,24.8519
"ANC","DEN",-0.6589,1876,280.2800,2406.0000,3.8679,0.0995,1.9554,0.0139,2.2925
"ATL","DEN",8.1947,22106,167.9516,1199.0000,4.5974,0.4472,3.5862,0.0057,3.6203
"AUS","DEN",4.0004,4516,111.4167,775.0000,3.6569,0.0521,1.9291,0.0000,5.6674
"BIL","DEN",3.2977,4677,67.0346,455.0000,3.1337,0.2272,1.8762,0.0000,5.5625
"BNA","DEN",5.6442,1316,150.1181,1013.0000,3.8746,0.1527,2.4942,0.0086,13.6326
"BOI","DEN",3.5754,6504,87.2574,649.0000,4.8436,0.2282,1.6536,0.0000,3.1213
"BOS","DEN",6.6999,12731,229.7048,1754.0000,2.7853,0.5081,3.9511,0.0063,6.7973
"BUR","DEN",-0.5216,2181,112.4508,850.0000,2.2499,0.2383,1.8359,0.0000,0.2267
"BWI","DEN",5.9150,12776,210.8447,1491.0000,3.6831,0.4269,3.7804,0.0143,4.4410
"BZN","DEN",4.2896,337,73.9313,525.0000,28.1132,1.3396,15.1698,0.0000,15.8113
"CLE","DEN",1.4071,1958,173.4551,1201.0000,4.0228,0.6870,2.8076,0.0000,2.0362
"CLT","DEN",7.5832,4326,194.8684,1337.0000,3.4186,0.3101,3.6252,0.0000,4.3458
"CMH","DEN",2.7207,3485,168.1046,1155.0000,2.2931,0.1909,2.3499,0.0346,4.6501
"COS","DEN",0.3728,3598,19.0617,72.0000,1.2128,0.3368,1.5272,0.0000,2.7281
"CVG","DEN",5.2017,6486,152.7556,1069.0000,2.9494,0.3483,3.0867,0.0182,3.6850
"DCA","DEN",6.9007,1640,208.0112,1476.0000,3.8458,0.9200,4.3527,0.0000,5.5796
"DFW","DEN",8.4564,37029,95.8749,641.0000,3.7041,1.2936,2.6878,0.0106,5.4975
"DSM","DEN",4.6260,6539,89.5464,589.0000,5.2850,0.4658,2.2073,0.0000,3.5856
"DTW","DEN",4.5829,4623,163.1513,1123.0000,4.0353,0.3271,2.6562,0.0000,4.3775
"EGE","DEN",13.0929,1390,30.4216,121.0000,3.0735,2.1615,5.3195,0.0000,10.2460
"EWR","DEN",8.0911,7191,223.8721,1605.0000,2.3858,0.5496,5.7322,0.0012,8.3819
"FLL","DEN",6.7121,2430,232.8086,1703.0000,4.3905,0.1172,3.4489,0.0053,5.4619
"FSD","DEN",5.0919,944,76.9146,483.0000,6.0266,1.3550,5.8491,0.0000,19.5503
"GEG","DEN",0.9786,5890,109.1317,836.0000,3.9682,0.2003,1.7621,0.0187,2.5369
"GRR","DEN",0.6518,113,145.7321,1014.0000,43.0769,0.0000,14.5385,0.0000,0.0000
"GUC","DEN",8.9704,313,32.1382,152.0000,1.0158,0.5929,2.7510,0.0000,14.6206
"HDN","DEN",4.8401,691,30.5247,142.0000,4.7168,3.4158,5.3842,0.0000,1.2515
"HNL","DEN",-0.0931,2161,372.4877,3365.0000,4.1805,0.0312,2.7860,0.0000,0.7010
"HOU","DEN",2.5842,2258,125.3402,883.0000,3.9397,0.8544,1.9847,0.0472,7.1775
"IAD","DEN",6.1557,17892,200.7448,1452.0000,3.7173,0.7377,4.0812,0.0068,3.8625
"IAH","DEN",5.3117,9388,123.9627,861.0000,2.6477,0.2527,2.8805,0.0000,5.6229
"ICT","DEN",4.8745,4711,68.0219,419.0000,4.3980,0.2824,1.7670,0.0000,4.7593
"IND","DEN",2.1403,3903,143.1284,977.0000,3.5744,0.3246,2.0265,0.0069,3.0641
"JAC","DEN",7.6892,4293,60.5820,406.0000,3.3362,1.1178,2.8235,0.0000,8.6803
"JFK","DEN",9.1954,5245,152.1689,1626.0000,3.2253,0.5601,9.4314,0.0545,4.1006
"KOA","DEN",-1.5125,280,371.7455,3329.0000,4.5708,0.0000,3.2876,0.0000,0.0442
"LAS","DEN",6.7363,26393,85.0414,629.0000,2.8064,0.3414,2.1244,0.0199,8.0463
"LAX","DEN",4.2237,32575,111.2878,862.0000,3.0200,0.1499,1.8802,0.0576,5.1308
"LGA","DEN",9.3926,12063,224.8334,1619.0000,2.5532,0.7588,6.3919,0.0000,6.8657
"LIH","DEN",6.8444,47,385.3556,3414.0000,11.8182,0.0000,18.4545,0.0000,9.0000
"MCI","DEN",5.7901,14673,84.2605,533.0000,2.8856,0.3255,2.2903,0.0021,6.6464
"MCO","DEN",5.4418,10721,213.1407,1545.0000,3.0119,0.7232,2.7160,0.0097,5.2033
"MDW","DEN",8.9349,7540,129.9632,895.0000,4.6975,0.8849,3.1241,0.0373,8.2383
"MIA","DEN",7.4235,6455,231.9923,1709.0000,5.0759,1.0178,2.8333,0.0501,3.5655
"MSO","DEN",0.8553,235,92.1234,679.0000,33.1852,0.7037,16.2222,0.0000,13.9259
"MSP","DEN",5.7612,12481,101.6113,680.0000,3.2809,0.2889,2.6059,0.0000,6.7687
"MSY","DEN",4.5362,6102,149.1803,1062.0000,2.8454,0.0796,1.9985,0.0000,5.8724
"MTJ","DEN",11.5517,175,35.6437,197.0000,1.4571,0.8500,2.9000,0.0000,11.7643
"OAK","DEN",2.4476,13449,122.7341,957.0000,2.6594,0.0409,1.5280,0.0176,4.2126
"OGG","DEN",-2.5261,270,370.9515,3303.0000,6.7143,0.6587,3.8095,0.0000,2.3095
"OKC","DEN",2.7038,8599,76.2915,495.0000,3.0407,0.1178,1.3251,0.0061,4.8864
"OMA","DEN",5.5412,11344,73.9906,472.0000,3.7244,0.2018,2.0617,0.0000,6.0861
"ONT","DEN",1.8107,9252,107.9197,819.0000,2.1078,0.0709,1.7205,0.0024,3.6948
"ORD","DEN",12.0861,39244,126.2974,888.0000,5.0309,1.1509,3.9805,0.0008,7.8275
"PDX","DEN",2.9729,13118,125.2885,992.0000,1.9974,0.1661,1.6318,0.0034,4.5737
